epoch,loss,MAE,F-beta
001,5.419,0.328,0.531
002,3.782,0.148,0.807
003,3.038,0.103,0.823
004,2.644,0.088,0.837
005,2.396,0.078,0.832
006,2.256,0.063,0.843
007,2.152,0.059,0.841
008,2.078,0.055,0.845
009,2.016,0.051,0.847
010,1.974,0.051,0.846
011,1.939,0.048,0.852
012,1.896,0.048,0.855
013,1.876,0.047,0.856
014,1.858,0.050,0.850
015,1.834,0.046,0.856
016,1.824,0.049,0.853
017,1.801,0.046,0.858
018,1.792,0.044,0.861
019,1.781,0.044,0.861
020,1.769,0.044,0.861
021,1.756,0.045,0.860
022,1.746,0.043,0.862
023,1.731,0.042,0.866
024,1.731,0.042,0.866
025,1.710,0.042,0.868
026,1.713,0.041,0.866
027,1.710,0.042,0.867
028,1.700,0.041,0.869
029,1.686,0.042,0.868
030,1.690,0.041,0.868
031,1.689,0.041,0.870
032,1.675,0.042,0.868
033,1.666,0.041,0.869
034,1.665,0.041,0.870
035,1.666,0.041,0.870
036,1.655,0.041,0.869
037,1.654,0.040,0.871
038,1.651,0.040,0.870
039,1.653,0.041,0.870
040,1.641,0.041,0.870
041,1.633,0.040,0.870
042,1.638,0.040,0.870
043,1.627,0.040,0.870
044,1.631,0.040,0.870
045,1.622,0.040,0.870
046,1.624,0.040,0.871
047,1.614,0.040,0.871
048,1.612,0.040,0.871
049,1.616,0.040,0.871
050,1.612,0.040,0.871
051,1.609,0.040,0.871
052,1.604,0.040,0.872
053,1.609,0.040,0.872
054,1.597,0.040,0.872
055,1.603,0.040,0.873
056,1.597,0.040,0.873
057,1.595,0.040,0.873
058,1.593,0.040,0.873
059,1.591,0.040,0.873
060,1.592,0.039,0.873
061,1.589,0.040,0.873
062,1.589,0.040,0.873
063,1.583,0.040,0.873
064,1.583,0.040,0.873
065,1.583,0.039,0.873
066,1.584,0.040,0.872
067,1.581,0.040,0.872
068,1.579,0.040,0.872
069,1.579,0.040,0.872
070,1.574,0.040,0.873
071,1.578,0.040,0.873
072,1.573,0.040,0.873
073,1.577,0.040,0.873
074,1.576,0.040,0.873
075,1.573,0.040,0.873
076,1.570,0.040,0.873
077,1.572,0.040,0.873
078,1.569,0.040,0.873
079,1.566,0.040,0.873
080,1.567,0.040,0.874
081,1.570,0.040,0.874
082,1.571,0.040,0.874
083,1.571,0.040,0.873
084,1.569,0.040,0.873
085,1.568,0.040,0.873
086,1.565,0.040,0.873
087,1.572,0.040,0.873
088,1.570,0.040,0.873
089,1.567,0.040,0.873
090,1.567,0.040,0.873
